"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.067,-79.6737016479036,-103.46908002796,-84.9399061525502,-79.4666776112493,-85.1718300154957,-81.4740613395992,-87.1696874675938,-92.6540656745604,-100.036259920861,-88.0116708667715
0.068,-79.6454459325973,-103.383842294784,-84.8966445266084,-79.4241632344625,-85.1590356173927,-81.4443997273006,-87.1206352740457,-92.5933666828507,-99.9725790553432,-87.9768449377186
0.069,-79.6172762335314,-103.298983963711,-84.8535774397162,-79.3818559125253,-85.1462159308907,-81.4148478812785,-87.0717163558038,-92.53296601332,-99.9091280399659,-87.9421783386428
0.07,-79.5891919937448,-103.214501547451,-84.8107026623865,-79.3397541097306,-85.1333714095752,-81.3854049706959,-87.022930158509,-92.4728593143709,-99.8459043041049,-87.907669601461
0.071,-79.5611926609738,-103.13039160376,-84.7680180082843,-79.2978563035118,-85.1205024960384,-81.3560701741543,-86.9742761230284,-92.4130423294853,-99.7829053216939,-87.8733172756755
0.072,-79.5332776876058,-103.046650734713,-84.725521333109,-79.2561609843725,-85.1076096221898,-81.3268426795535,-86.9257536858674,-92.3535108945225,-99.7201286101773,-87.8391199281365
0.073,-79.5054465306334,-102.963275585988,-84.6832105335125,-79.2146666558126,-85.0946932095564,-81.2977216839523,-86.8773622795601,-92.2942609351096,-99.6575717294934,-87.8050761428066
0.074,-79.4776986516097,-102.880262846158,-84.6410835460509,-79.1733718342529,-85.0817536695725,-81.2687063934327,-86.8291013330397,-92.2352884641225,-99.5952322810866,-87.7711845205276
0.075,-79.4500335166029,-102.797609246005,-84.5991383461692,-79.1322750489556,-85.0687914038603,-81.2397960229657,-86.7809702719896,-92.1765895792525,-99.5331079069483,-87.7374436787894
0.076,-79.4224505961521,-102.715311557843,-84.5573729472172,-79.0913748419436,-85.0558068045006,-81.21098979628,-86.7329685191769,-92.1181604606558,-99.4711962886845,-87.7038522515016
0.077,-79.3949493652235,-102.633366594848,-84.5157853994963,-79.0506697679168,-85.0428002542945,-81.1822869457329,-86.6850954947678,-92.0599973686817,-99.4094951466107,-87.6704088887674
0.078,-79.3675293031663,-102.551771210408,-84.4743737893347,-79.0101583941671,-85.0297721270165,-81.1536867121828,-86.6373506166277,-92.002096641678,-99.3480022388715,-87.6371122566599
0.079,-79.3401898936697,-102.470522297484,-84.4331362381919,-78.9698393004911,-85.0167227876598,-81.1251883448649,-86.5897333006055,-91.9444546938684,-99.286715360585,-87.603961037001
0.08,-79.3129306247203,-102.389616787979,-84.3920709017896,-78.9297110791017,-85.0036525926727,-81.0967911012685,-86.5422429608029,-91.887068013301,-99.225632343012,-87.5709539271425
0.081,-79.2857509885591,-102.309051652119,-84.3511759692693,-78.8897723345375,-84.9905618901879,-81.0684942470163,-86.4948790098302,-91.8299331598647,-99.1647510527469,-87.5380896397506
0.082,-79.25865048164,-102.228823897851,-84.3104496623753,-78.8500216835716,-84.9774510202443,-81.0402970557463,-86.4476408590494,-91.7730467633692,-99.1040693909319,-87.5053669025923
0.083,-79.2316286045881,-102.148930570244,-84.2698902346615,-78.810457755119,-84.9643203150015,-81.0121988089954,-86.4005279188036,-91.7164055216888,-99.0435852924923,-87.4727844583244
0.084,-79.2046848621581,-102.06936875091,-84.2294959707228,-78.7710791901425,-84.9511700989479,-80.984198796085,-86.3535395986361,-91.660006198966,-98.9832967253932,-87.440341064286
0.085,-79.1778187631938,-101.990135557425,-84.1892651854485,-78.7318846415588,-84.9380006891012,-80.9562963140086,-86.3066753074966,-91.6038456238723,-98.9232016899156,-87.4080354922924
0.086,-79.1510298205878,-101.911228142771,-84.1491962232977,-78.6928727741425,-84.924812395204,-80.9284906673217,-86.259934453938,-91.5479206879255,-98.8632982179533,-87.3758665284327
0.087,-79.1243175512411,-101.832643694781,-84.1092874575966,-78.65404226443,-84.9116055199121,-80.9007811680333,-86.2133164463029,-91.4922283438596,-98.8035843723274,-87.3438329728696
